01-04 15:14:42: Training starting...
01-04 15:14:44: New best reward -1.0 (-100.0%) at episode 0, saving model...
01-04 15:14:44: New best reward 0.0 (-100.0%) at episode 6, saving model...
01-04 15:14:44: New best reward 1.0 (0.0%) at episode 77, saving model...
01-04 15:14:47: New best reward 2.0 (100.0%) at episode 438, saving model...
01-04 15:14:48: New best reward 3.0 (50.0%) at episode 536, saving model...
01-04 15:14:50: New best reward 6.0 (100.0%) at episode 765, saving model...
01-04 15:14:51: New best reward 7.0 (16.7%) at episode 816, saving model...
01-04 15:14:51: New best reward 9.0 (28.6%) at episode 884, saving model...
01-04 15:15:00: New best reward 13.0 (44.4%) at episode 1286, saving model...
01-04 15:15:09: New best reward 17.0 (30.8%) at episode 1612, saving model...
01-04 15:15:10: New best reward 19.0 (11.8%) at episode 1689, saving model...
01-04 15:15:19: New best reward 25.0 (31.6%) at episode 1892, saving model...
01-04 15:15:22: New best reward 31.0 (24.0%) at episode 2133, saving model...
01-04 15:15:33: New best reward 44.0 (41.9%) at episode 2450, saving model...
01-04 15:16:20: New best reward 70.0 (59.1%) at episode 3224, saving model...
01-04 15:17:01: New best reward 86.0 (22.9%) at episode 3780, saving model...
01-04 15:18:12: New best reward 178.0 (107.0%) at episode 4549, saving model...
01-04 15:19:22: New best reward 193.0 (8.4%) at episode 5178, saving model...
01-04 15:19:44: New best reward 207.0 (7.3%) at episode 5372, saving model...
01-04 15:20:14: New best reward 233.0 (12.6%) at episode 5592, saving model...
01-04 15:21:14: New best reward 434.0 (86.3%) at episode 5942, saving model...
01-04 15:27:45: New best reward 536.0 (23.5%) at episode 7614, saving model...
